"participant","seed","sort","image","final_img_pos","posX","posY"
"204",4,"Sort1","M07fear_o","[ 358.   75.]",358,75
"204",4,"Sort1","M07fear_c","[-500.  224.]",-500,224
"204",4,"Sort1","M07calm_c","[-500.   75.]",-500,75
"204",4,"Sort1","M07neut_o","[  72.  224.]",72,224
"204",4,"Sort1","M07disg_o","[-357.  373.]",-357,373
"204",4,"Sort1","M07sad_c","[ 358.  373.]",358,373
"204",4,"Sort1","M07surp_c","[  72. -223.]",72,-223
"204",4,"Sort1","M07ang_o","[-500.  373.]",-500,373
"204",4,"Sort1","M07disg_c","[-214.  373.]",-214,373
"204",4,"Sort1","M07ang_c","[-643.  373.]",-643,373
"204",4,"Sort1","M07neut_c","[ 72. -74.]",72,-74
"204",4,"Sort1","M07hap_o","[-357. -223.]",-357,-223
"204",4,"Sort2","M15surp_o","[ 501. -223.]",501,-223
"204",4,"Sort2","F10disg_o","[-71.  75.]",-71,75
"204",4,"Sort2","M03calm_c","[ -71. -223.]",-71,-223
"204",4,"Sort2","M14neut_o","[  72. -223.]",72,-223
"204",4,"Sort2","M17sad_o","[ 501.   75.]",501,75
"204",4,"Sort2","M05exc_c","[-357. -223.]",-357,-223
"204",4,"Sort2","F13exc_o","[-500. -223.]",-500,-223
"204",4,"Sort2","M02ang_c","[ 501.  224.]",501,224
"204",4,"Sort2","F15hap_c","[-214. -223.]",-214,-223
"204",4,"Sort2","F01fear_c","[ 215. -223.]",215,-223
"204",4,"Sort2","M12hap_o","[-357. -372.]",-357,-372
"204",4,"Sort2","F22sad_c","[ 501.  -74.]",501,-74
"204",4,"Sort2","M08fear_o","[ 358. -223.]",358,-223
"204",4,"Sort2","F04ang_o","[-500.  373.]",-500,373
"204",4,"Sort2","F07neut_c","[-500.   75.]",-500,75
"204",4,"Sort2","F17calm_o","[-500.  -74.]",-500,-74
"204",4,"Sort2","F14surp_c","[ 358.  -74.]",358,-74
"204",4,"Sort2","M04disg_c","[ 72.  75.]",72,75
"205",5,"Practice","bus","[-71. -74.]",-71,-74
"205",5,"Practice","table","[ 215.  224.]",215,224
"205",5,"Practice","car","[-214.  -74.]",-214,-74
"205",5,"Practice","bird","[-357.  224.]",-357,224
"205",5,"Practice","squirrel","[-214.  224.]",-214,224
"205",5,"Sort1","M07surp_o","[-500.  -74.]",-500,-74
"205",5,"Sort1","M07ang_c","[ 644.  373.]",644,373
"205",5,"Sort1","M07hap_o","[-643.  -74.]",-643,-74
"205",5,"Sort1","M07disg_o","[-357.  224.]",-357,224
"205",5,"Sort1","M07neut_c","[ -71. -372.]",-71,-372
"205",5,"Sort1","M07disg_c","[-214.  224.]",-214,224
"205",5,"Sort1","M07hap_c","[-357.  -74.]",-357,-74
"205",5,"Sort1","M07neut_o","[  72. -372.]",72,-372
"205",5,"Sort1","M07sad_o","[ 215.  224.]",215,224
"205",5,"Sort1","M07calm_o","[-500. -223.]",-500,-223
