"Subj","Word_Category","Order","Word","Exclude","word_fix","temp_combo","duplicate"
110,"Animal",7,"alligator",0,"alligator","110 alligator",0
110,"Animal",8,"mouse",0,"mouse","110 mouse",0
110,"Animal",9,"rat",0,"rat","110 rat",0
110,"Animal",10,"bunny",0,"bunny","110 bunny",0
110,"Animal",11,"cat",0,"cat","110 cat",0
110,"Animal",12,"dog",0,"dog","110 dog",0
110,"Animal",13,"lion",0,"lion","110 lion",0
110,"Animal",14,"tiger",0,"tiger","110 tiger",0
110,"Animal",15,"monkey",0,"monkey","110 monkey",0
110,"Animal",16,"lemur",0,"lemur","110 lemur",0
110,"Animal",17,"chameleon",0,"chameleon","110 chameleon",0
110,"Animal",18,"lizard",0,"lizard","110 lizard",0
110,"Animal",19,"gecko",0,"gecko","110 gecko",0
110,"Animal",20,"coyote",0,"coyote","110 coyote",0
110,"Animal",21,"worm",0,"worm","110 worm",0
110,"Animal",22,"ant",0,"ant","110 ant",0
110,"Animal",23,"beetle",0,"beetle","110 beetle",0
110,"Animal",24,"spider",0,"spider","110 spider",0
110,"Emotion",1,"happy",0,"happy","110 happy",0
110,"Emotion",3,"yucky",0,"yucky","110 yucky",0
110,"Emotion",4,"sad",0,"sad","110 sad",0
110,"Emotion",5,"angry",0,"angry","110 angry",0
110,"Emotion",6,"confused",0,"confused","110 confused",0
111,"Animal",1,"bird",0,"bird","111 bird",0
111,"Animal",2,"bunny",0,"bunny","111 bunny",0
111,"Animal",3,"zebra",0,"zebra","111 zebra",0
111,"Animal",5,"kangaroo",0,"kangaroo","111 kangaroo",0
111,"Animal",6,"dinosaur",0,"dinosaur","111 dinosaur",0
111,"Animal",7,"pterodactyl",0,"pterodactyl","111 pterodactyl",0
111,"Animal",8,"penguin",0,"penguin","111 penguin",0
111,"Animal",9,"giraffe",0,"giraffe","111 giraffe",0
111,"Animal",10,"owl",0,"owl","111 owl",0
111,"Animal",11,"hippo",0,"hippo","111 hippo",0
111,"Animal",13,"snake",0,"snake","111 snake",0
111,"Animal",14,"duck",0,"duck","111 duck",0
111,"Emotion",1,"sad",0,"sad","111 sad",0
111,"Emotion",2,"excited",0,"excited","111 excited",0
111,"Emotion",3,"mad",0,"mad","111 mad",0
111,"Emotion",4,"crazy",0,"crazy","111 crazy",0
112,"Animal",1,"cat",0,"cat","112 cat",0
112,"Emotion",1,"happy",0,"happy","112 happy",0
112,"Emotion",2,"sad",0,"sad","112 sad",0
112,"Emotion",3,"mad",0,"mad","112 mad",0
113,"Animal",1,"lion",0,"lion","113 lion",0
113,"Animal",2,"zebra",0,"zebra","113 zebra",0
113,"Animal",3,"camel",0,"camel","113 camel",0
113,"Emotion",1,"happy",0,"happy","113 happy",0
113,"Emotion",2,"sad",0,"sad","113 sad",0
113,"Emotion",3,"angry",0,"angry","113 angry",0
114,"Animal",1,"rhino",0,"rhino","114 rhino",0
114,"Animal",2,"giraffe",0,"giraffe","114 giraffe",0
114,"Animal",3,"zebra",0,"zebra","114 zebra",0
114,"Animal",4,"lion",0,"lion","114 lion",0
114,"Emotion",2,"happy",0,"happy","114 happy",0
114,"Emotion",3,"excited",0,"excited","114 excited",0
114,"Emotion",4,"mad",0,"mad","114 mad",0
115,"Animal",1,"zebra",0,"zebra","115 zebra",0
115,"Animal",3,"snake",0,"snake","115 snake",0
115,"Animal",4,"cobra",0,"cobra","115 cobra",0
115,"Animal",6,"ostrich",0,"ostrich","115 ostrich",0
115,"Animal",7,"tiger",0,"tiger","115 tiger",0
115,"Animal",8,"lion",0,"lion","115 lion",0
115,"Animal",9,"hippo",0,"hippo","115 hippo",0
115,"Animal",11,"sockeyesalmon",0,"sockeyesalmon","115 sockeyesalmon",0
115,"Animal",12,"squid",0,"squid","115 squid",0
115,"Animal",13,"octopus",0,"octopus","115 octopus",0
115,"Animal",15,"duck",0,"duck","115 duck",0
115,"Emotion",1,"happy",0,"happy","115 happy",0
115,"Emotion",2,"sad",0,"sad","115 sad",0
115,"Emotion",3,"okay",0,"okay","115 okay",0
115,"Emotion",4,"angry",0,"angry","115 angry",0
115,"Emotion",5,"upset",0,"upset","115 upset",0
115,"Emotion",6,"mad",0,"mad","115 mad",0
117,"Animal",2,"hippo",0,"hippo","117 hippo",0
