Subj,Word_Category,Order,Word,Exclude
121,Animal,7,antelope,0
121,Animal,8,tiger,0
121,Animal,9,lion,0
121,Animal,10,penguin,0
121,Animal,11,bear,0
121,Animal,12,snake,0
121,Animal,13,seal,0
121,Animal,14,dolphin,0
121,Animal,15,whale,0
121,Animal,16,shark,0
121,Animal,17,rhino,0
121,Animal,18,hippo,0
121,Animal,19,cheetah,0
121,Animal,20,cat,0
121,Animal,21,dog,0
121,Animal,22,chicken,0
121,Animal,23,horse,0
121,Emotion,1,angry,0
121,Emotion,2,happy,0
121,Emotion,3,mad,0
121,Emotion,4,sad,0
121,Emotion,5,frustrated,0
121,Emotion,6,scared,0
121,Emotion,7,surprise,0
122,Animal,1,giraffe,0
122,Animal,2,lion,0
122,Animal,3,elephant,0
122,Emotion,1,sad,0
122,Emotion,2,happy,0
122,Emotion,3,reallyhappy,1
123,Animal,1,cougar,0
123,Animal,2,snail,0
123,Animal,3,lizard,0
123,Animal,4,iguana,0
123,Animal,5,tiger,0
123,Animal,6,lion,0
123,Animal,7,zebra,0
123,Animal,8,flamingo,0
123,Animal,9,gorilla,0
123,Animal,10,alligator,0
123,Animal,11,frog,0
123,Animal,12,starfish,0
123,Emotion,1,sad,0
123,Emotion,2,angry,0
123,Emotion,3,surprise,0
123,Emotion,4,sad,0
123,Emotion,5,happy,0
123,Emotion,6,sorry,0
124,Animal,1,rhino,0
124,Animal,2,cat,0
124,Animal,3,tiger,0
124,Animal,4,dragon,0
124,Animal,5,giraffe,0
124,Animal,6,snail,0
124,Animal,7,cheetah,0
124,Animal,8,rhino,0
124,Animal,9,turtle,0
124,Animal,10,mouse,0
124,Emotion,1,sad,0
124,Emotion,2,happy,0
124,Emotion,3,mad,0
124,Emotion,4,happy,0
125,Animal,1,fox,0
125,Animal,2,kangaroo,0
125,Animal,3,elephant,0
125,Animal,4,tiger,0
125,Animal,5,snowleopard,0
125,Animal,6,unicorn,0
125,Animal,7,giraffe,0
125,Emotion,1,sad,0
125,Emotion,2,mad,0
125,Emotion,3,angry,0
125,Emotion,4,upset,0
125,Emotion,5,sad,0
125,Emotion,6,frustrated,0
125,Emotion,7,disgust,0
126,Animal,1,lion,0
126,Animal,2,tiger,0
126,Animal,3,dinosaur,0
126,Animal,4,elephant,0
126,Animal,5,giraffe,0
126,Animal,6,monkey,0
126,Animal,7,boxelderbug,0
126,Emotion,1,sad,0
126,Emotion,2,concentrating,1
126,Emotion,3,listening,1
126,Emotion,4,scared,0
126,Emotion,5,emotional,0
126,Emotion,6,calm,0
127,Animal,1,trex,0
127,Animal,2,bear,0
127,Animal,3,fox,0
127,Animal,4,dog,0
127,Animal,5,gorilla,0
127,Animal,6,dragon,0
127,Animal,7,stegosaurus,0
127,Animal,8,oxen,0
127,Animal,9,grizzlybear,0
127,Animal,10,blackbear,0
127,Animal,11,woollybear,0
