"image","questionType","rating","lowCI","hiCI","sd"
"M08fear_o","Negative",1.86274509803922,1.59286026077162,2.13262993530681,0.134367385874602
"M08fear_o","Positive",0.686274509803922,0.42550926094585,0.947039758661993,0.129827022409779
"M08fear_o","Valence",2.98039215686275,2.78971738073131,3.17106693299418,0.0949311249953741
"M12hap_o","Arousal",4.62745098039216,4.27186344664618,4.98303851413814,0.177036130828168
"M12hap_o","Negative",0.607843137254902,0.284322508131647,0.931363766378157,0.161071002179709
"M12hap_o","Positive",2.29411764705882,1.98451213856732,2.60372315555033,0.154143090251243
"M12hap_o","Valence",5.45098039215686,5.23085509558664,5.67110568872709,0.10959363617633
"M14neut_o","Arousal",3.01960784313725,2.64864944455011,3.3905662417244,0.184688813165751
"M14neut_o","Negative",1.54901960784314,1.24446509900594,1.85357411668033,0.151628352385735
"M14neut_o","Positive",0.823529411764706,0.532837471320221,1.11422135220919,0.14472660460585
"M14neut_o","Valence",3.52941176470588,3.3668384589633,3.69198507044846,0.0809402644727462
"M15surp_o","Arousal",4.90196078431373,4.54506705956347,5.25885450906399,0.177686443281713
"M15surp_o","Negative",1.56862745098039,1.26962384388672,1.86763105807406,0.148864728596881
"M15surp_o","Positive",1.19607843137255,0.903684034554398,1.4884728281907,0.145574205437416
"M15surp_o","Valence",3.23529411764706,2.94524317454369,3.52534506075043,0.144407471682525
"M17sad_o","Arousal",3.68627450980392,3.39675881525243,3.97579020435541,0.14414098783913
"M17sad_o","Negative",2.11764705882353,1.85593184234262,2.37936227530443,0.130299982163421
"M17sad_o","Positive",0.411764705882353,0.232321046965191,0.591208364799515,0.0893394960776041
"M17sad_o","Valence",2.72549019607843,2.57583285047092,2.87514754168594,0.0745098039215686
