"participant","seed","sort","image","final_img_pos","posX","posY"
"181",181,"Sort2","M12hap_o","[ 644.  373.]",644,373
"181",181,"Sort2","M02ang_c","[-643.  373.]",-643,373
"181",181,"Sort2","F17calm_o","[ -71. -372.]",-71,-372
"181",181,"Sort2","M14neut_o","[-214.  373.]",-214,373
"181",181,"Sort2","F22sad_c","[-643.  224.]",-643,224
"181",181,"Sort2","M03calm_c","[-357.  -74.]",-357,-74
"181",181,"Sort2","F04ang_o","[ 215.  224.]",215,224
"181",181,"Sort2","F15hap_c","[ 644. -372.]",644,-372
"181",181,"Sort2","M17sad_o","[-357.   75.]",-357,75
"181",181,"Sort2","F01fear_c","[ 501.  -74.]",501,-74
"181",181,"Sort2","F10disg_o","[ 644.  224.]",644,224
"181",181,"Sort2","M15surp_o","[ 644.   75.]",644,75
"181",181,"Sort2","M04disg_c","[ 215. -372.]",215,-372
"181",181,"Sort2","F07neut_c","[ 358. -372.]",358,-372
"181",181,"Sort2","M05exc_c","[-643. -223.]",-643,-223
"181",181,"Sort2","M08fear_o","[-643.   75.]",-643,75
"181",181,"Sort2","F14surp_c","[-357. -372.]",-357,-372
"181",181,"Sort2","F13exc_o","[-643. -372.]",-643,-372
"184",184,"Practice","squirrel","[ 215. -223.]",215,-223
"184",184,"Practice","car","[-214.  -74.]",-214,-74
"184",184,"Practice","bird","[ 358. -223.]",358,-223
"184",184,"Practice","bus","[-71. -74.]",-71,-74
"184",184,"Practice","table","[ -71.  224.]",-71,224
"184",184,"Sort1","M07neut_o","[ 644.  -74.]",644,-74
"184",184,"Sort1","M07surp_c","[ 501.  -74.]",501,-74
"184",184,"Sort1","M07surp_o","[ 644. -223.]",644,-223
"184",184,"Sort1","M07neut_c","[ 358.  -74.]",358,-74
"184",184,"Sort1","M07disg_c","[ 501.  224.]",501,224
"184",184,"Sort1","M07ang_o","[ 358.  224.]",358,224
"184",184,"Sort1","M07sad_o","[ 215.  -74.]",215,-74
"184",184,"Sort1","M07calm_o","[ 501. -223.]",501,-223
"184",184,"Sort1","M07disg_o","[ 644.  224.]",644,224
"184",184,"Sort1","M07ang_c","[ 215.  224.]",215,224
"184",184,"Sort1","M07sad_c","[  72.  373.]",72,373
"184",184,"Sort1","M07exc_c","[ 358. -223.]",358,-223
"184",184,"Sort1","M07hap_c","[ 215. -223.]",215,-223
"184",184,"Sort1","M07calm_c","[  72. -223.]",72,-223
"184",184,"Sort1","M07fear_o","[  72.  224.]",72,224
"184",184,"Sort1","M07exc_o","[ 72. -74.]",72,-74
"184",184,"Sort1","M07fear_c","[-500.  224.]",-500,224
"184",184,"Sort1","M07hap_o","[ -71. -223.]",-71,-223
"184",184,"Sort2","F01fear_c","[ 72. -74.]",72,-74
"184",184,"Sort2","M08fear_o","[ -71.  373.]",-71,373
"184",184,"Sort2","M15surp_o","[  72. -372.]",72,-372
"184",184,"Sort2","F14surp_c","[ 215.  -74.]",215,-74
"184",184,"Sort2","F07neut_c","[-71. -74.]",-71,-74
"184",184,"Sort2","F04ang_o","[ 644.  224.]",644,224
"184",184,"Sort2","M17sad_o","[-214.  -74.]",-214,-74
"184",184,"Sort2","M14neut_o","[ 358.  -74.]",358,-74
"184",184,"Sort2","M12hap_o","[-500.   75.]",-500,75
"184",184,"Sort2","F17calm_o","[-357.   75.]",-357,75
"184",184,"Sort2","F22sad_c","[ 501.  -74.]",501,-74
"184",184,"Sort2","F10disg_o","[ 501.  224.]",501,224
"184",184,"Sort2","M05exc_c","[-214.   75.]",-214,75
"184",184,"Sort2","F15hap_c","[-71.  75.]",-71,75
"184",184,"Sort2","F13exc_o","[ 72.  75.]",72,75
"184",184,"Sort2","M03calm_c","[ 644.  -74.]",644,-74
"184",184,"Sort2","M02ang_c","[-643. -223.]",-643,-223
"184",184,"Sort2","M04disg_c","[ 358.  224.]",358,224
"185",185,"Practice","table","[-643.  -74.]",-643,-74
"185",185,"Practice","bird","[-643.  373.]",-643,373
"185",185,"Practice","bus","[-643. -372.]",-643,-372
"185",185,"Practice","squirrel","[-500.  373.]",-500,373
"185",185,"Practice","car","[-500. -372.]",-500,-372
"185",185,"Sort1","M07surp_o","[-643.  373.]",-643,373
"185",185,"Sort1","M07neut_o","[-643.  -74.]",-643,-74
"185",185,"Sort1","M07sad_c","[-643. -372.]",-643,-372
"185",185,"Sort1","M07hap_c","[-500.  373.]",-500,373
"185",185,"Sort1","M07fear_o","[-500. -372.]",-500,-372
"185",185,"Sort1","M07calm_o","[-357.  373.]",-357,373
"185",185,"Sort1","M07neut_c","[-500.  -74.]",-500,-74
"185",185,"Sort1","M07exc_c","[-214.  373.]",-214,373
"185",185,"Sort1","M07fear_c","[-357.  -74.]",-357,-74
"185",185,"Sort1","M07surp_c","[-214.  -74.]",-214,-74
"185",185,"Sort1","M07ang_o","[-357. -372.]",-357,-372
