"participant","seed","sort","image","final_img_pos","posX","posY","subject","subjCode","Age","Gender","age_bin","age_group","image_cat","image_tax_cat"
"180",180,"Sort1","M07calm_c","[ -71.  224.]",-71,224,"p180",180,5.666666667,"F","5 to 6","kids","calm","calm"
"180",180,"Sort1","M07fear_o","[ 215.   75.]",215,75,"p180",180,5.666666667,"F","5 to 6","kids","fear","fear"
"180",180,"Sort1","M07ang_c","[ -71. -223.]",-71,-223,"p180",180,5.666666667,"F","5 to 6","kids","ang","ang"
"180",180,"Sort1","M07exc_o","[ 501.  224.]",501,224,"p180",180,5.666666667,"F","5 to 6","kids","exc","exc"
"180",180,"Sort1","M07ang_o","[-214. -223.]",-214,-223,"p180",180,5.666666667,"F","5 to 6","kids","ang","ang"
"180",180,"Sort1","M07surp_o","[ 644.  224.]",644,224,"p180",180,5.666666667,"F","5 to 6","kids","surp","surp"
"180",180,"Sort1","M07neut_o","[ -71.  373.]",-71,373,"p180",180,5.666666667,"F","5 to 6","kids","neut","neut"
"180",180,"Sort1","M07neut_c","[ 358.   75.]",358,75,"p180",180,5.666666667,"F","5 to 6","kids","neut","neut"
"180",180,"Sort1","M07calm_o","[-214.  224.]",-214,224,"p180",180,5.666666667,"F","5 to 6","kids","calm","calm"
"180",180,"Sort1","M07sad_c","[ 501.   75.]",501,75,"p180",180,5.666666667,"F","5 to 6","kids","sad","sad"
"180",180,"Sort1","M07disg_c","[  72. -223.]",72,-223,"p180",180,5.666666667,"F","5 to 6","kids","disg","disg"
"180",180,"Sort2","M05exc_c","[ 72.  75.]",72,75,"p180",180,5.666666667,"F","5 to 6","kids","exc","exc"
"180",180,"Sort2","M17sad_o","[-357. -223.]",-357,-223,"p180",180,5.666666667,"F","5 to 6","kids","sad","sad"
"180",180,"Sort2","F10disg_o","[-643.  373.]",-643,373,"p180",180,5.666666667,"F","5 to 6","kids","disg","disg"
"180",180,"Sort2","M04disg_c","[-500.  373.]",-500,373,"p180",180,5.666666667,"F","5 to 6","kids","disg","disg"
"180",180,"Sort2","M08fear_o","[-214. -223.]",-214,-223,"p180",180,5.666666667,"F","5 to 6","kids","fear","fear"
"180",180,"Sort2","M02ang_c","[ -71. -223.]",-71,-223,"p180",180,5.666666667,"F","5 to 6","kids","ang","ang"
"180",180,"Sort2","M12hap_o","[ 215.   75.]",215,75,"p180",180,5.666666667,"F","5 to 6","kids","hap","hap"
"180",180,"Sort2","F15hap_c","[ 358.   75.]",358,75,"p180",180,5.666666667,"F","5 to 6","kids","hap","hap"
"180",180,"Sort2","F13exc_o","[ 501.   75.]",501,75,"p180",180,5.666666667,"F","5 to 6","kids","exc","exc"
"180",180,"Sort2","F17calm_o","[ 644.   75.]",644,75,"p180",180,5.666666667,"F","5 to 6","kids","calm","calm"
"180",180,"Sort2","M03calm_c","[-71.  75.]",-71,75,"p180",180,5.666666667,"F","5 to 6","kids","calm","calm"
"180",180,"Sort2","F04ang_o","[-357.  373.]",-357,373,"p180",180,5.666666667,"F","5 to 6","kids","ang","ang"
"180",180,"Sort2","M15surp_o","[ 358. -372.]",358,-372,"p180",180,5.666666667,"F","5 to 6","kids","surp","surp"
"180",180,"Sort2","F01fear_c","[-214.   75.]",-214,75,"p180",180,5.666666667,"F","5 to 6","kids","fear","fear"
"180",180,"Sort2","F14surp_c","[ 501. -372.]",501,-372,"p180",180,5.666666667,"F","5 to 6","kids","surp","surp"
"180",180,"Sort2","M14neut_o","[  72. -223.]",72,-223,"p180",180,5.666666667,"F","5 to 6","kids","neut","neut"
"180",180,"Sort2","F22sad_c","[ 215. -223.]",215,-223,"p180",180,5.666666667,"F","5 to 6","kids","sad","sad"
"180",180,"Sort2","F07neut_c","[-357.   75.]",-357,75,"p180",180,5.666666667,"F","5 to 6","kids","neut","neut"
"181",181,"Practice","car","[ 644.  373.]",644,373,"p181",181,5.5,"M","5 to 6","kids","car","vehicle"
"181",181,"Practice","squirrel","[-643.  373.]",-643,373,"p181",181,5.5,"M","5 to 6","kids","squirrel","animal"
"181",181,"Practice","table","[-214. -372.]",-214,-372,"p181",181,5.5,"M","5 to 6","kids","table","furniture"
"181",181,"Practice","bus","[ 644.  224.]",644,224,"p181",181,5.5,"M","5 to 6","kids","bus","vehicle"
"181",181,"Practice","bird","[  72.  373.]",72,373,"p181",181,5.5,"M","5 to 6","kids","bird","animal"
"181",181,"Sort1","M07disg_o","[ 644.  373.]",644,373,"p181",181,5.5,"M","5 to 6","kids","disg","disg"
"181",181,"Sort1","M07fear_c","[-643.  373.]",-643,373,"p181",181,5.5,"M","5 to 6","kids","fear","fear"
"181",181,"Sort1","M07ang_c","[-214.   75.]",-214,75,"p181",181,5.5,"M","5 to 6","kids","ang","ang"
"181",181,"Sort1","M07calm_o","[ 501.   75.]",501,75,"p181",181,5.5,"M","5 to 6","kids","calm","calm"
"181",181,"Sort1","M07sad_c","[-214.  -74.]",-214,-74,"p181",181,5.5,"M","5 to 6","kids","sad","sad"
"181",181,"Sort1","M07exc_o","[ -71.  373.]",-71,373,"p181",181,5.5,"M","5 to 6","kids","exc","exc"
"181",181,"Sort1","M07ang_o","[ 644.  224.]",644,224,"p181",181,5.5,"M","5 to 6","kids","ang","ang"
"181",181,"Sort1","M07calm_c","[ -71.  224.]",-71,224,"p181",181,5.5,"M","5 to 6","kids","calm","calm"
