"sample_index","age_bin","age_group","sort","sort_name","N","average_dist","ci_dist"
16,"adults","adults","Sort2","Different Individuals",40,0.213763463025452,0.0327734153696957
17,"3 to 4","kids","Sort1","Same Individual",21,0.0363716567262195,0.0464432734270176
17,"3 to 4","kids","Sort2","Different Individuals",21,0.0018513752535077,0.0365093895808157
17,"4 to 5","kids","Sort1","Same Individual",34,-0.00185256867170069,0.0428856807449012
17,"4 to 5","kids","Sort2","Different Individuals",33,0.0181250563311361,0.0354266788651423
17,"5 to 6","kids","Sort1","Same Individual",28,0.0705447900574043,0.0544660204629797
17,"5 to 6","kids","Sort2","Different Individuals",28,0.053924712960731,0.0469374807337109
17,"6 to 7","kids","Sort1","Same Individual",23,0.103960602712969,0.0493971232464497
17,"6 to 7","kids","Sort2","Different Individuals",23,0.117330641227856,0.0425423087070308
17,"adults","adults","Sort1","Same Individual",40,0.177121757995023,0.0287359330890843
17,"adults","adults","Sort2","Different Individuals",40,0.220858296516141,0.0346845918636594
18,"3 to 4","kids","Sort1","Same Individual",21,0.0213168121124644,0.0430926541154823
18,"3 to 4","kids","Sort2","Different Individuals",21,-0.00255271260165787,0.0443767509501493
18,"4 to 5","kids","Sort1","Same Individual",34,-0.0133580572638306,0.0409627991207924
18,"4 to 5","kids","Sort2","Different Individuals",33,0.00933660200002467,0.0376118099746052
18,"5 to 6","kids","Sort1","Same Individual",28,0.0670987525940583,0.050450836979017
18,"5 to 6","kids","Sort2","Different Individuals",28,0.0702601381939612,0.0375734472607473
18,"6 to 7","kids","Sort1","Same Individual",23,0.110750813946049,0.0532660144055101
18,"6 to 7","kids","Sort2","Different Individuals",23,0.114583314287356,0.0534032882481851
18,"adults","adults","Sort1","Same Individual",40,0.201636834447039,0.032468663391323
18,"adults","adults","Sort2","Different Individuals",40,0.218879126205618,0.0367923372076068
19,"3 to 4","kids","Sort1","Same Individual",21,0.0366991052114793,0.0455539745701198
19,"3 to 4","kids","Sort2","Different Individuals",21,0.0203153971448957,0.0410908341201992
19,"4 to 5","kids","Sort1","Same Individual",34,0.0243031181293764,0.0476338681419284
19,"4 to 5","kids","Sort2","Different Individuals",33,0.0070092711112908,0.0370379566800137
19,"5 to 6","kids","Sort1","Same Individual",28,0.0524287672640829,0.0530641609616999
19,"5 to 6","kids","Sort2","Different Individuals",28,0.0485441988615603,0.0436823224469193
19,"6 to 7","kids","Sort1","Same Individual",23,0.0962324294093259,0.05066817470711
19,"6 to 7","kids","Sort2","Different Individuals",23,0.116238303386821,0.0444482098846818
19,"adults","adults","Sort1","Same Individual",40,0.19402342389946,0.0380529433722441
19,"adults","adults","Sort2","Different Individuals",40,0.22234632094418,0.0348194106665161
20,"3 to 4","kids","Sort1","Same Individual",21,0.0183270178073756,0.0586852613876476
20,"3 to 4","kids","Sort2","Different Individuals",21,0.0210888427154024,0.0443026625634771
20,"4 to 5","kids","Sort1","Same Individual",34,-0.00276254028800231,0.0479190765387154
20,"4 to 5","kids","Sort2","Different Individuals",33,0.0149907511754218,0.0320969951135909
20,"5 to 6","kids","Sort1","Same Individual",28,0.0931711408552425,0.0486677616204954
20,"5 to 6","kids","Sort2","Different Individuals",28,0.0607726916973288,0.0394981752966892
20,"6 to 7","kids","Sort1","Same Individual",23,0.0908626842787881,0.0460360652939139
20,"6 to 7","kids","Sort2","Different Individuals",23,0.1152452009432,0.0488217085258925
20,"adults","adults","Sort1","Same Individual",40,0.167090329232549,0.0283572870588341
20,"adults","adults","Sort2","Different Individuals",40,0.212700789969325,0.0351855799017791
21,"3 to 4","kids","Sort1","Same Individual",21,0.0355779896339655,0.0299926412210077
21,"3 to 4","kids","Sort2","Different Individuals",21,-0.0193887554637672,0.0358757111508705
21,"4 to 5","kids","Sort1","Same Individual",34,0.0292533083312551,0.052554952103493
21,"4 to 5","kids","Sort2","Different Individuals",33,0.020578701138762,0.0341320855262976
21,"5 to 6","kids","Sort1","Same Individual",28,0.0683050675983442,0.0453936549333885
21,"5 to 6","kids","Sort2","Different Individuals",28,0.0495272775047691,0.0361014598792547
21,"6 to 7","kids","Sort1","Same Individual",23,0.088175798844843,0.0442215131066088
21,"6 to 7","kids","Sort2","Different Individuals",23,0.129389496367443,0.0398544597567542
21,"adults","adults","Sort1","Same Individual",40,0.202152843217117,0.0274002407590872
21,"adults","adults","Sort2","Different Individuals",40,0.195707941327005,0.0369805726584474
22,"3 to 4","kids","Sort1","Same Individual",21,0.00333686667085525,0.0289297367211531
22,"3 to 4","kids","Sort2","Different Individuals",21,0.0293114426614603,0.0348043966572991
22,"4 to 5","kids","Sort1","Same Individual",34,0.036623238663111,0.041830032670883
22,"4 to 5","kids","Sort2","Different Individuals",33,-0.000373477547145343,0.0406953557086583
22,"5 to 6","kids","Sort1","Same Individual",28,0.0733029490777166,0.042620209300828
22,"5 to 6","kids","Sort2","Different Individuals",28,0.0741170055939834,0.0334759189280002
22,"6 to 7","kids","Sort1","Same Individual",23,0.120434431293652,0.0510678668859169
22,"6 to 7","kids","Sort2","Different Individuals",23,0.129874959387156,0.0431919683650999
22,"adults","adults","Sort1","Same Individual",40,0.181537620209142,0.0278693800246357
22,"adults","adults","Sort2","Different Individuals",40,0.230333377690799,0.0350543062679097
23,"3 to 4","kids","Sort1","Same Individual",21,0.00884292975673937,0.0433254287366636
23,"3 to 4","kids","Sort2","Different Individuals",21,0.00888907916118049,0.032880403180791
23,"4 to 5","kids","Sort1","Same Individual",34,0.00834421936860259,0.0408717669491868
23,"4 to 5","kids","Sort2","Different Individuals",33,0.00771443689016223,0.0324475695382245
23,"5 to 6","kids","Sort1","Same Individual",28,0.0978350676306871,0.0418800326177157
