"items","item1","item2","emotion_pair_same","shared_category","category_pair","pos_1","neg_1","ESG_type_1","arousal_1","valence_1","val_type_1","sort","image_cat_1","mouth_1","actor_gender_1","pos_2","neg_2","ESG_type_2","arousal_2","valence_2","val_type_2","image_cat_2","mouth_2","actor_gender_2","dist_valence","dist_arousal","dist_pos","dist_neg"
"M07disg_o-M07surp_c","M07disg_o","M07surp_c",0,"between","between",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","Sort1","disg","o","M",1.3921568627451,0.980392156862745,"indifferent",4.33333333333333,4.41176470588235,"indifferent","surp","c","M",2.15686274509804,0.43137254901961,0.843137254901963,1.72549019607844
"M07disg_o-M07hap_o","M07disg_o","M07hap_o",0,"between","between",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","Sort1","disg","o","M",3.11764705882353,0.392156862745098,"pol_pos",5.45098039215686,6.49019607843137,"pol_pos","hap","o","M",4.23529411764706,0.68627450980392,2.56862745098039,2.31372549019608
"M07ang_c-M07disg_o","M07ang_c","M07disg_o",0,"between","between",0.352941176470588,2.94117647058824,"pol_neg",4.23529411764706,2.13725490196078,"pol_neg","Sort1","ang","c","M",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","disg","o","M",0.11764705882353,0.52941176470588,0.196078431372549,0.23529411764706
"M07disg_o-M07fear_c","M07disg_o","M07fear_c",0,"between","between",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","Sort1","disg","o","M",0.588235294117647,1.66666666666667,"indifferent",4.07843137254902,3.2156862745098,"indifferent","fear","c","M",0.96078431372549,0.68627450980392,0.03921568627451,1.03921568627451
"M07disg_o-M07exc_o","M07disg_o","M07exc_o",0,"between","between",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","Sort1","disg","o","M",1.3921568627451,1.05882352941176,"indifferent",4.74509803921569,4.31372549019608,"indifferent","exc","o","M",2.05882352941177,0.0196078431372504,0.843137254901963,1.64705882352942
"M07disg_o-M07fear_o","M07disg_o","M07fear_o",0,"between","between",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","Sort1","disg","o","M",0.431372549019608,1.84313725490196,"indifferent",4.03921568627451,2.88235294117647,"pol_neg","fear","o","M",0.62745098039216,0.725490196078431,0.117647058823529,0.86274509803922
"M07ang_o-M07disg_o","M07ang_o","M07disg_o",0,"between","between",0.470588235294118,2.70588235294118,"pol_neg",4.45098039215686,2.13725490196078,"pol_neg","Sort1","ang","o","M",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","disg","o","M",0.11764705882353,0.31372549019608,0.078431372549019,0
"M07calm_o-M07disg_o","M07calm_o","M07disg_o",0,"between","between",1.82352941176471,0.647058823529412,"indifferent",3.94117647058824,5.03921568627451,"pol_pos","Sort1","calm","o","M",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","disg","o","M",2.7843137254902,0.8235294117647,1.27450980392157,2.05882352941177
"M07calm_c-M07disg_o","M07calm_c","M07disg_o",0,"between","between",1.50980392156863,0.901960784313726,"indifferent",3.29411764705882,4.56862745098039,"indifferent","Sort1","calm","c","M",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","disg","o","M",2.31372549019608,1.47058823529412,0.960784313725493,1.80392156862745
"M07disg_o-M07surp_o","M07disg_o","M07surp_o",0,"between","between",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","Sort1","disg","o","M",3.45098039215686,0.509803921568627,"pol_pos",6.27450980392157,6.76470588235294,"pol_pos","surp","o","M",4.50980392156863,1.50980392156863,2.90196078431372,2.19607843137255
"M07disg_o-M07sad_o","M07disg_o","M07sad_o",0,"between","between",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","Sort1","disg","o","M",0.352941176470588,2.23529411764706,"pol_neg",3.68627450980392,2.54901960784314,"pol_neg","sad","o","M",0.29411764705883,1.07843137254902,0.196078431372549,0.47058823529412
"M07disg_c-M07hap_c","M07disg_c","M07hap_c",0,"between","between",0.176470588235294,3.15686274509804,"pol_neg",4.01960784313725,1.68627450980392,"pol_neg","Sort1","disg","c","M",2.33333333333333,0.764705882352941,"pol_pos",4.68627450980392,5.82352941176471,"pol_pos","hap","c","M",4.13725490196079,0.66666666666667,2.15686274509804,2.3921568627451
"M07hap_c-M07neut_o","M07hap_c","M07neut_o",0,"between","between",2.33333333333333,0.764705882352941,"pol_pos",4.68627450980392,5.82352941176471,"pol_pos","Sort1","hap","c","M",0.784313725490196,1.62745098039216,"indifferent",3.07843137254902,3.37254901960784,"indifferent","neut","o","M",2.45098039215687,1.6078431372549,1.54901960784313,0.862745098039219
"M07hap_c-M07sad_c","M07hap_c","M07sad_c",0,"between","between",2.33333333333333,0.764705882352941,"pol_pos",4.68627450980392,5.82352941176471,"pol_pos","Sort1","hap","c","M",0.235294117647059,2.64705882352941,"pol_neg",3.76470588235294,1.88235294117647,"pol_neg","sad","c","M",3.94117647058824,0.92156862745098,2.09803921568627,1.88235294117647
"M07hap_c-M07surp_c","M07hap_c","M07surp_c",0,"between","between",2.33333333333333,0.764705882352941,"pol_pos",4.68627450980392,5.82352941176471,"pol_pos","Sort1","hap","c","M",1.3921568627451,0.980392156862745,"indifferent",4.33333333333333,4.41176470588235,"indifferent","surp","c","M",1.41176470588236,0.35294117647059,0.94117647058823,0.215686274509804
"M07hap_c-M07hap_o","M07hap_c","M07hap_o",1,"hap","within",2.33333333333333,0.764705882352941,"pol_pos",4.68627450980392,5.82352941176471,"pol_pos","Sort1","hap","c","M",3.11764705882353,0.392156862745098,"pol_pos",5.45098039215686,6.49019607843137,"pol_pos","hap","o","M",0.66666666666666,0.76470588235294,0.7843137254902,0.372549019607843
"M07ang_c-M07hap_c","M07ang_c","M07hap_c",0,"between","between",0.352941176470588,2.94117647058824,"pol_neg",4.23529411764706,2.13725490196078,"pol_neg","Sort1","ang","c","M",2.33333333333333,0.764705882352941,"pol_pos",4.68627450980392,5.82352941176471,"pol_pos","hap","c","M",3.68627450980393,0.45098039215686,1.98039215686274,2.1764705882353
"M07fear_c-M07hap_c","M07fear_c","M07hap_c",0,"between","between",0.588235294117647,1.66666666666667,"indifferent",4.07843137254902,3.2156862745098,"indifferent","Sort1","fear","c","M",2.33333333333333,0.764705882352941,"pol_pos",4.68627450980392,5.82352941176471,"pol_pos","hap","c","M",2.60784313725491,0.6078431372549,1.74509803921568,0.901960784313729
"M07exc_o-M07hap_c","M07exc_o","M07hap_c",0,"between","between",1.3921568627451,1.05882352941176,"indifferent",4.74509803921569,4.31372549019608,"indifferent","Sort1","exc","o","M",2.33333333333333,0.764705882352941,"pol_pos",4.68627450980392,5.82352941176471,"pol_pos","hap","c","M",1.50980392156863,0.0588235294117698,0.94117647058823,0.294117647058819
