"participant","seed","sort","image","final_img_pos","posX","posY","subject","subjCode","Age","Gender","age_bin","age_group","image_cat","image_tax_cat","mouth","actor_gender"
"143",1,"Sort1","M07exc_o","[  72.  373.]",72,373,"p143",143,6.833333333,"F","6 to 7","kids","exc","exc","o","M"
"143",1,"Sort1","M07disg_c","[  72. -223.]",72,-223,"p143",143,6.833333333,"F","6 to 7","kids","disg","disg","c","M"
"143",1,"Sort2","F22sad_c","[ 72.  75.]",72,75,"p143",143,6.833333333,"F","6 to 7","kids","sad","sad","c","F"
"143",1,"Sort2","M05exc_c","[ 501.   75.]",501,75,"p143",143,6.833333333,"F","6 to 7","kids","exc","exc","c","M"
"143",1,"Sort2","M02ang_c","[-214.   75.]",-214,75,"p143",143,6.833333333,"F","6 to 7","kids","ang","ang","c","M"
"143",1,"Sort2","F14surp_c","[ 215. -223.]",215,-223,"p143",143,6.833333333,"F","6 to 7","kids","surp","surp","c","F"
"143",1,"Sort2","F13exc_o","[ 72. -74.]",72,-74,"p143",143,6.833333333,"F","6 to 7","kids","exc","exc","o","F"
"143",1,"Sort2","M04disg_c","[-500.   75.]",-500,75,"p143",143,6.833333333,"F","6 to 7","kids","disg","disg","c","M"
"143",1,"Sort2","F15hap_c","[ 358.   75.]",358,75,"p143",143,6.833333333,"F","6 to 7","kids","hap","hap","c","F"
"143",1,"Sort2","M17sad_o","[-214.  -74.]",-214,-74,"p143",143,6.833333333,"F","6 to 7","kids","sad","sad","o","M"
"143",1,"Sort2","M14neut_o","[ 644.  373.]",644,373,"p143",143,6.833333333,"F","6 to 7","kids","neut","neut","o","M"
"143",1,"Sort2","F04ang_o","[ 644.  -74.]",644,-74,"p143",143,6.833333333,"F","6 to 7","kids","ang","ang","o","F"
"143",1,"Sort2","M12hap_o","[  72.  373.]",72,373,"p143",143,6.833333333,"F","6 to 7","kids","hap","hap","o","M"
"143",1,"Sort2","F01fear_c","[-643. -372.]",-643,-372,"p143",143,6.833333333,"F","6 to 7","kids","fear","fear","c","F"
"143",1,"Sort2","M08fear_o","[-71. -74.]",-71,-74,"p143",143,6.833333333,"F","6 to 7","kids","fear","fear","o","M"
"143",1,"Sort2","F17calm_o","[ 215.  -74.]",215,-74,"p143",143,6.833333333,"F","6 to 7","kids","calm","calm","o","F"
"143",1,"Sort2","M15surp_o","[ 215.  373.]",215,373,"p143",143,6.833333333,"F","6 to 7","kids","surp","surp","o","M"
"143",1,"Sort2","F10disg_o","[ 501.  -74.]",501,-74,"p143",143,6.833333333,"F","6 to 7","kids","disg","disg","o","F"
"143",1,"Sort2","M03calm_c","[ 215. -372.]",215,-372,"p143",143,6.833333333,"F","6 to 7","kids","calm","calm","c","M"
"143",1,"Sort2","F07neut_c","[ 215.   75.]",215,75,"p143",143,6.833333333,"F","6 to 7","kids","neut","neut","c","F"
"144",144,"Practice","bus","[-214. -372.]",-214,-372,"p144",144,6.916666667,"F","6 to 7","kids","bus","vehicle","bus","bus"
"144",144,"Practice","squirrel","[ 644.  373.]",644,373,"p144",144,6.916666667,"F","6 to 7","kids","squirrel","animal","squirrel","squirrel"
"144",144,"Practice","car","[ 215. -372.]",215,-372,"p144",144,6.916666667,"F","6 to 7","kids","car","vehicle","car","car"
"144",144,"Practice","table","[-500.   75.]",-500,75,"p144",144,6.916666667,"F","6 to 7","kids","table","furniture","table","table"
"144",144,"Practice","bird","[ 0.  0.]",0,0,"p144",144,6.916666667,"F","6 to 7","kids","bird","animal","bird","bird"
"144",144,"Sort1","M07exc_o","[-500.  -74.]",-500,-74,"p144",144,6.916666667,"F","6 to 7","kids","exc","exc","o","M"
"144",144,"Sort1","M07ang_o","[ 215.  -74.]",215,-74,"p144",144,6.916666667,"F","6 to 7","kids","ang","ang","o","M"
"144",144,"Sort1","M07disg_c","[ 501.  -74.]",501,-74,"p144",144,6.916666667,"F","6 to 7","kids","disg","disg","c","M"
